Tool Name,Story,Works with,No.of actions,Author
Notion,Send new Notion database entries to Google Sheets,"Google Sheets, Notion",3,null
Notion,Search Notion for information,Notion,10,null
Notion,Create Google Calendar events from Notion database,"Google, Notion",9,Jesse Johnson
Notion,Sync recent Outlook Calendar events to a Notion database,"Microsoft Outlook, Notion",3,Michael Tolan
Notion,Add Notion database entries as Outlook calendar events,"Microsoft, Microsoft Outlook, Notion",4,Michael Tolan
Notion,Send notifications for updates in a Notion database,Notion,11,null
Notion,Generate a Tines case incident response timeline,"Notion, Tines",18,Conor Dunne
Notion,Notify and assign training based on Harmonic Security alerts,"Harmonic Security, Knowbe4, Notion, Slack, Tines",17,Harmonic Security
Notion,Parse URL From Email and Send To Notion,Notion,4,Colm O'Grada
Notion,Create and sync Google Calendar events from Notion,"Google Calendar, Notion",23,Yanni Hajioannou
PagerDuty,Monitor Zendesk tickets for SLA breaches and alert in Slack and PagerDuty,"PagerDuty, Slack, Zendesk",11,Hrishikesh Kokate
PagerDuty,Use AI to create cases and act on CrowdStrike alerts,"CrowdStrike, Okta, PagerDuty, Zscaler",87,Conor Dunne
PagerDuty,Crowdsource suspicious logins and suspend accounts,"GreyNoise, Jira Software, OneLogin, PagerDuty, Slack",16,null
PagerDuty,Email an on-call engineer with PagerDuty,"PagerDuty, Slack",21,null
PagerDuty,Investigate EDR alerts from Carbon Black,"Jira Software, PagerDuty, VirusTotal",11,Shaun Finn
PagerDuty,Remediate PagerDuty alerts,"GreyNoise, PagerDuty",23,null
PagerDuty,Look for & remediate new breaches using Recorded Future,"Jira Software, PagerDuty, Recorded Future",24,null
PagerDuty,Analyze potential SMS phishing attacks and raise incidents in Jira,"OCRSpace, OpenAI, PagerDuty",22,Rajesh Kumar
PagerDuty,"Handle malware alerts with CrowdStrike, Oomnitza, GitHub, and PagerDuty","CrowdStrike, GitHub, PagerDuty, Slack",25,Lucas Cantor
PagerDuty,Monitor Okta for invalid sign-in attempts and resolve via Slack,"Okta, PagerDuty, Slack",14,null
PagerDuty,Sync on-call engineers from PagerDuty to Bowtie access groups,"Bowtie, PagerDuty",16,Michael Tolan
PagerDuty,Receive and correlate alerts from Sysdig,"OpsGenie, PagerDuty, Slack, Sysdig",10,null
PagerDuty,Disable a user in Duo Security and Azure Entra ID while alerting PagerDuty,"Duo Security, Microsoft, PagerDuty",12,null
Google Sheets,Add form data to Google Sheets,Google Sheets,3,null
Google Sheets,Search Google Sheets information via Slack,"Google Sheets, Slack",13,null
Google Sheets,Organize new form responses in Google Sheets,"Google, Google Sheets",3,null
Google Sheets,Send new Notion database entries to Google Sheets,"Google Sheets, Notion",3,null
Google Sheets,Build and send a weekly metric review,"Google Sheets, Splunk",29,Joe Frederick
Google Sheets,Send reminders for risk register updates,"Google Sheets, Slack",15,Conor Dunne
Google Sheets,Append data to Google Sheet,Google Sheets,16,null
Google Sheets,Create and populate a Google file,"Google, Google Sheets",17,null
Google Sheets,Create and sync issues in Jira from data in Google Sheets,"Google Sheets, Jira Software",18,Michael Tolan
Google Sheets,Track ID.me responses with Google Sheets,"Google Sheets, ID.me",3,null
Google Sheets,Update Google Sheets With Snowflake Data,"Google Sheets, Snowflake",5,Colm O'Grada
Google Sheets,Sync Google spreadsheet to records,Google Sheets,23,Conor Dunne
Wiz,Find & remediate publicly exposed S3 buckets with Wiz,"AWS, Jira Software, Slack, Wiz",13,null
Wiz,Detect and remediate malware issues in Wiz with SentinelOne,"AWS, Jira Software, SentinelOne, Wiz",21,null
Wiz,Send Wiz alerts to Slack and raise issues in Jira,"Jira Software, Slack, Wiz",22,null
Wiz,Deactivate stale AWS access keys discovered by Wiz,"AWS, ServiceNow, Slack, Wiz",17,Derek Wohlfahrt
Wiz,Analyze open issues in Wiz with ChatGPT,"OpenAI, Wiz",12,null
Wiz,Retrieve and respond to Azure guest accounts detected by Wiz,"Microsoft, Microsoft Azure, Wiz",20,Conor Dunne
Wiz,Remediate AWS IAM alerts detected with Wiz using Slack and Jira,"AWS, Jira Software, Slack, Wiz",36,Conor Dunne
Wiz,Use Slack to record specific Wiz insights in TheHive,"Slack, TheHive Project, Wiz",26,null
Wiz,Record CVE findings from Wiz in MongoDB,"MongoDB Atlas, Wiz",10,null
Wiz,Detect and remediate malware issues in Wiz with SentinelOne and The Hive,"AWS, Jira Software, SentinelOne, Wiz",22,null
Wiz,Discover inactive Service Accounts in Google Cloud,"Google, Jira Software, Slack, Wiz",13,null
Wiz,Retrieve overly permissive Google Cloud firewall rules with Wiz,"Google, Wiz",11,Conor Dunne
Zendesk,Monitor Zendesk tickets for SLA breaches and alert in Slack and PagerDuty,"PagerDuty, Slack, Zendesk",11,Hrishikesh Kokate
Zendesk,Run a query in Snowflake,"Slack, Snowflake, VirusTotal, Zendesk",5,null
Zendesk,Create Zendesk Ticket via Google Forms,"Google, Zendesk",8,null
Zendesk,Monitor & respond to Slack queries from external users & respond using Zendesk,"Slack, Zendesk",80,Lasse Høgsholt
Zendesk,Analyze URLS for fraud and abuse,Zendesk,9,null
Zendesk,Create Zendesk tickets via Tines Forms,Zendesk,9,null
Zendesk,Facilitate two-way communication between Slack & Zendesk,"Slack, Zendesk",33,Lasse Høgsholt
Zendesk,Track issues across GitHub and Zendesk,"GitHub, Zendesk",28,null
Zendesk,Track issues across Tines and Zendesk,Zendesk,28,null
Zendesk,Process & enrich Cylance detections,"Cylance, Slack, VirusTotal, Zendesk",29,null
Zendesk,Capture and post handover notes in Slack using a Zendesk lookup,"Slack, Zendesk",8,null
Airtable,Enrich new Airtable company records using Tavily searches,"Airtable, Tavily",17,Michael Tolan
Airtable,Create a security incident in Airtable,Airtable,6,null
Airtable,Send emails to all users stored in an AirTable database,Airtable,8,Conor Dunne
Airtable,Enrich IPs recorded in Airtable,"AbuseIPDB, Airtable, Criminal IP",14,Michael Tolan
Airtable,Record Tines Stories in Airtable,Airtable,10,null
Airtable,Fill out weekly recaps with Tines Pages and Slack,"Airtable, Slack",30,Conor Dunne
Airtable,Get reservation information and statistics for a local gym,"Airtable, QuickChart, Telegram",13,Marti B
Airtable,Synchronize Google Group email list with an AirTable database,"Airtable, Google",8,Conor Dunne
Airtable,View and manage AirTable webhooks using Tines pages,Airtable,22,Conor Dunne
Airtable,Onboard GitHub projects to SonarCloud and Airtable,"Airtable, GitHub, SonarCloud",36,Tyler Talaga
DomainTools,Retrieve related domains using DomainTools' Iris Investigate,DomainTools,20,null
DomainTools,Fetch & block high-risk domains with DomainTools and NextDNS,"DomainTools, NextDNS",25,DomainTools
DomainTools,Retrieve all subdomains & resource records for a domain with Farsight DNSDB by DomainTools,DomainTools,16,null
DomainTools,Retrieve domain risk scores in Slack using DomainTools API,"DomainTools, Slack",13,null
DomainTools,Monitor a domain for risk score changes with DomainTools' Iris Enrich,DomainTools,28,null
DomainTools,Pivot on artifacts related to a domain with DomainTools' Iris Investigate,DomainTools,11,null
DomainTools,Using Slack with DomainTools' Iris Investigate API,"DomainTools, Slack",16,null
DomainTools,Monitor for domains that match a query in DomainTools Iris Investigate and notify Slack,"DomainTools, Slack",7,Nghia N
DomainTools,Verify signed authentication data for DomainTools,DomainTools,14,null
DomainTools,Monitor when a tagged domain becomes active in DomainTools Iris Investigate and notify via Slack,"DomainTools, Slack",8,Nghia N
SentinelOne,Respond to alerts from various tools with the AI Agent Action,"CrowdStrike, SentinelOne",13,Conor Dunne
SentinelOne,Identify and remediate malicious SentinelOne threats with VirusTotal,"Jira Software, SentinelOne, VirusTotal",40,null
SentinelOne,Investigate unresolved SentinelOne threats,"Jira Software, SentinelOne",5,null
SentinelOne,Detect and remediate malware issues in Wiz with SentinelOne,"AWS, Jira Software, SentinelOne, Wiz",21,null
SentinelOne,Perform threat hunting with SentinelOne Deep Visibility,SentinelOne,27,Conor Dunne
SentinelOne,Manage indicators of compromise in SentinelOne with Tines pages,SentinelOne,15,Conor Dunne
SentinelOne,Enrich SentinelOne alerts with Stairwell Inception,"SentinelOne, Stairwell",19,null
SentinelOne,Extract SentinelOne alert evidence & upload to Drata controls,"Drata, SentinelOne",8,null
SentinelOne,Detect and remediate malware issues in Wiz with SentinelOne and The Hive,"AWS, Jira Software, SentinelOne, Wiz",22,null
SentinelOne,Block a hash in SentinelOne,SentinelOne,3,Michael Tolan
Tenable Vulnerability Management,Microsoft Teams Vulnerability Scanner and Responder,"Microsoft Teams, Tenable Vulnerability Management",30,Michael Snow
Tenable Vulnerability Management,Implement pagination with these techniques,"Jira Software, Notion, Slack, Tenable Vulnerability Management",32,null
Tenable Vulnerability Management,Check for new CISA vulnerabilities,"Microsoft Teams, Tenable Vulnerability Management",6,null
Tenable Vulnerability Management,Analyze vulnerabilities from Tenable workbench,"GreyNoise, Jira Software, Slack, Tenable Vulnerability Management",25,null
Tenable Vulnerability Management,Upload & track asset management information from Tenable in Drata,"Drata, Tenable Vulnerability Management",8,null
Tenable Vulnerability Management,Use a Tines Page to analyze known vulnerabilities from Tenable,"Jira Software, Slack, Tenable Vulnerability Management",12,null
Tenable Vulnerability Management,Get asset vulnerability information from Tenable,Tenable Vulnerability Management,30,Michael Tolan
Tenable Vulnerability Management,Launch DAST scan on web app via CI/CD pipeline,Tenable Vulnerability Management,16,Julien D.
Tenable Vulnerability Management,Monitor CVE trends via Cybersixgill and alert on impacted assets in Tenable.io,"Cybersixgill, Slack, Tenable Vulnerability Management",6,null
Tenable Vulnerability Management,Monitor VulnCheck KEV and alert on impacted assets in Tenable.io,"Slack, Tenable Vulnerability Management, VulnCheck",6,null
Fleet,Retrieve software vulnerabilities from Fleet for a given host,Fleet,6,Dave Herder
Fleet,Analyze VSCode extensions seen by Fleet with ExtensionTotal,"ExtensionTotal, Fleet",7,null
Fleet,Manage Fleet compliance policies using Tines cases,Fleet,102,Conor Dunne
Fleet,Search Fleet for software on devices using Slack,"Fleet, Slack",21,Conor Dunne
Fleet,Update vulnerable hosts using ManageEngine Endpoint Central and Fleet,"Fleet, Manage Engine",14,Conor Dunne
Fleet,Monitor and backup Fleet policies in GitHub,"Fleet, GitHub, Slack",27,Conor Dunne
Fleet,Sync Okta groups with Fleet labels,"Fleet, Okta",15,Dave Herder
Fleet,Query Fleet for software on hosts,Fleet,5,null
Fleet,Search for processes on a host using Fleet scripts,"Fleet, Slack",27,Conor Dunne
Microsoft OneDrive,Retrieve and remediate Cyera issues,"Cyera, Microsoft, Microsoft Azure, Microsoft OneDrive",45,Monolithic Power Systems
Microsoft OneDrive,Export CrowdStrike detections to OneDrive as CSV,"CrowdStrike, Microsoft OneDrive",5,Michael Tolan
Microsoft OneDrive,Export Tines records to OneDrive,"Microsoft OneDrive, Tines",4,Michael Tolan
Microsoft OneDrive,Retrieve and grant manager access to employee's OneDrive,Microsoft OneDrive,10,Zach Strickland
Microsoft OneDrive,Retrieve emails from Outlook and add the details to a Microsoft OneDrive spreadsheet,"Microsoft, Microsoft OneDrive",9,Conor Dunne
Microsoft OneDrive,"Extract CSV attachment from email, update OneDrive and refresh Power BI","Microsoft OneDrive, Power BI",6,Michael Tolan
Microsoft OneDrive,Update Excel files in OneDrive through email attachments and Pages,"Google, Microsoft OneDrive",26,null
Microsoft OneDrive,Save attachments from emails in Microsoft Outlook to Microsoft OneDrive,"Microsoft, Microsoft OneDrive",6,Conor Dunne
Microsoft OneDrive,Track Google search trends using SerpApi and save to OneDrive,"Google, Microsoft, Microsoft OneDrive, SerpApi",10,Michael Tolan
SpyCloud,Receive password breach alerts from SpyCloud and secure accounts,"CrowdStrike, Jira Software, Okta, SpyCloud",23,Conor Dunne
SpyCloud,Process SpyCloud breach data and generate a case in Tines,"SpyCloud, Tines",22,Tines
SpyCloud,Create ServiceNow incidents from SpyCloud alerts,"ServiceNow, SpyCloud",24,SpyCloud
SpyCloud,Alert users of potential breaches detected by SpyCloud.,"Slack, SpyCloud",9,Conor Dunne
SpyCloud,Send SpyCloud alerts to Anomali Threatstream,"Anomali ThreatStream, SpyCloud",9,Canva
SpyCloud,"Filter, redact and securely distribute SpyCloud data",SpyCloud,14,SpyCloud
SpyCloud,Get breach data from SpyCloud and track with Jira,SpyCloud,24,SpyCloud
SpyCloud,Disable Google Accounts based on SpyCloud breaches,"Google, Jira Software, SpyCloud",19,SpyCloud
SpyCloud,Reset Azure Entra ID passwords seen in SpyCloud breachces,"Microsoft Azure, SpyCloud",14,SpyCloud
Code42,Handle Code42 alerts,"Code42, Jira Software, Slack",12,null
Code42,Manage departing employee watchlists in Code42,Code42,12,null
Code42,Download Code42 Cases,"Code42, Jira Software",7,null
Code42,Automate Response to Data Risk with Tines and Code42 Incydr,"Code42, Jira Software, Okta",13,null
Code42,"Retrieve Code42 alerts, send to Slack and suspend user in Okta","Code42, Okta, Slack",19,null
Code42,Remove employee from a departing watchlist in Code42,Code42,9,null
Code42,Triage Code42 alerts via Slack,"Code42, Slack",20,null
Code42,Monitor employees using Code42,Code42,7,null
Duo Security,"Synchronize MFA group memberships in Okta, Duo & Jira","Duo Security, Jira Service Management, Okta",62,Caleb Williams
Duo Security,Report and lock lost devices in Jamf,"Duo Security, Jamf Pro, Jira Software",14,Conor Dunne
Duo Security,Send push notifications in Duo Security,Duo Security,23,null
Duo Security,Monitor Duo Security logs for new MFA devices,Duo Security,15,null
Duo Security,Add endpoints to a trusted device list in Duo,Duo Security,6,Mike Toole
Duo Security,Disable a user in Duo Security and Azure Entra ID while alerting PagerDuty,"Duo Security, Microsoft, PagerDuty",12,null
Duo Security,Authenticate page submissions with multifactor authentication,Duo Security,23,Conor Dunne
Duo Security,Authenticate a user using Duo,Duo Security,7,null
JupiterOne,Search for & remediate public AWS S3 buckets with JupiterOne,"AWS, Jira Software, JupiterOne",10,null
JupiterOne,Analyze vulnerabilities from JupiterOne by source account,"Jira Software, JupiterOne, Slack",12,null
JupiterOne,Analyze vulnerabilities from JupiterOne by severity,"Jira Software, JupiterOne, Slack",30,null
JupiterOne,Analyze vulnerabilities from JupiterOne by source account using Tines Cases,"Jira Software, JupiterOne, Slack",15,null
JupiterOne,Close Jira tickets if JupiterOne vulnerabilities are resolved,"Jira Software, JupiterOne",17,null
JupiterOne,Alert users of JupiterOne issues associated to their account,"JupiterOne, Slack",13,Conor Dunne
JupiterOne,Search for and remediate inactive AWS accounts from JupiterOne,"AWS, Jira Software, JupiterOne, Slack",14,null
JupiterOne,Close Tines Cases if JupiterOne vulnerabilities are resolved,"JupiterOne, Tines",14,null
Axonius,Discover and monitor unmanaged devices using Axonius,"Axonius, Jira Software, Shodan",10,null
Axonius,"Retrieve user, device, and vulnerability data in Axonius","Axonius, Tines",29,null
Axonius,Search Axonius for devices and enrich with VulnCheck,"Axonius, VulnCheck",48,Michael Tolan
Axonius,Receive a Request for Device Approval into Tailscale and Check Axonius,"Axonius, Slack, Tailscale",17,null
Axonius,Search for assets in Axonius,Axonius,39,Michael Tolan
Axonius,Get routine security updates and create cases based on calculated severity,Axonius,20,Michael Tolan
Axonius,Log Axonius users without an Okta connection with BMC Remedy,"Axonius, BMC Helix IT Service Management, Okta",5,null
EmailRep,"Analyze phishing email senders, URLs, & attachments","EmailRep, Sublime Security, URLScan.io, VirusTotal",51,null
EmailRep,Analyze and triage suspicious emails with various tools,"CrowdStrike, EmailRep, Jira Software, NextDNS, URLScan.io, VirusTotal",59,Michael Tolan
EmailRep,Triage alerts with agents using SOPs in Confluence,"AbuseIPDB, Confluence, CrowdStrike, EmailRep, Okta, Slack, Tavily, Tines, URLScan.io, VirusTotal",8,Pete Wrenn
